source,trial_number,trial_code,harvest_season,planting_date,planting_order,planting_month,treatment_type,treatment,rep,n_spray,sev,sev_class,yld,defoliation,audpc,tkw,first_after_planting,spray1,spray2,spray3,spray4,spray5,spray6,1_2,2_3,3_4,4_5,5_6
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV80,2,0,20,Low,2445.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV80,3,0,10,Low,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV80,4,0,25,Low,2398.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP9,1,5,17.33,High,NA,NA,357.43,NA,39,12/01/2014,12/17/2014,01/05/2015,02/06/2015,02/25/2015,NA,16,19,32,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP9,2,5,18.92,High,NA,NA,359.61,NA,39,12/01/2014,12/17/2014,01/05/2015,02/06/2015,02/25/2015,NA,16,19,32,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP9,3,5,10.67,High,NA,NA,222.32,NA,39,12/01/2014,12/17/2014,01/05/2015,02/06/2015,02/25/2015,NA,16,19,32,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP9,4,5,22.42,High,NA,NA,423.19,NA,39,12/01/2014,12/17/2014,01/05/2015,02/06/2015,02/25/2015,NA,16,19,32,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP6,1,6,8.53,High,NA,NA,188.06,NA,39,12/01/2014,12/17/2014,01/05/2015,01/31/2015,02/13/2015,02/27/2015,16,19,26,13,14
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP6,2,6,9.58,High,NA,NA,219.61,NA,39,12/01/2014,12/17/2014,01/05/2015,01/31/2015,02/13/2015,02/27/2015,16,19,26,13,14
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP6,3,6,5.78,High,NA,NA,116.78,NA,39,12/01/2014,12/17/2014,01/05/2015,01/31/2015,02/13/2015,02/27/2015,16,19,26,13,14
Beruski,6,PIR,2015,10/23/2014,1,Oct,LWDxT,DVIP6,4,6,7.08,High,NA,NA,147.04,NA,39,12/01/2014,12/17/2014,01/05/2015,01/31/2015,02/13/2015,02/27/2015,16,19,26,13,14
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV50,1,5,21.31,High,NA,NA,583.49,NA,61,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,NA,16,14,15,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV50,2,5,19.99,High,NA,NA,542.37,NA,61,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,NA,16,14,15,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV50,3,5,27.92,High,NA,NA,617.81,NA,61,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,NA,16,14,15,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV50,4,5,18.42,High,NA,NA,481.28,NA,61,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,NA,16,14,15,19,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Growth stage,CAL,1,6,46.5,High,NA,NA,930.36,NA,46,12/08/2014,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,15,16,14,15,19
Beruski,6,PIR,2015,10/23/2014,1,Oct,Growth stage,CAL,2,6,17.89,High,NA,NA,384.63,NA,46,12/08/2014,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,15,16,14,15,19
Beruski,6,PIR,2015,10/23/2014,1,Oct,Growth stage,CAL,3,6,20.58,High,NA,NA,482.97,NA,46,12/08/2014,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,15,16,14,15,19
Beruski,6,PIR,2015,10/23/2014,1,Oct,Growth stage,CAL,4,6,13.98,High,NA,NA,318.43,NA,46,12/08/2014,12/23/2014,01/08/2015,01/22/2015,02/06/2015,02/25/2015,15,16,14,15,19
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV80,1,2,56.08,High,NA,NA,1122.78,NA,74,01/05/2015,02/19/2015,NA,NA,NA,NA,45,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV80,2,2,18.45,High,NA,NA,384.19,NA,74,01/05/2015,02/19/2015,NA,NA,NA,NA,45,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV80,3,2,33.08,High,NA,NA,659.26,NA,74,01/05/2015,02/19/2015,NA,NA,NA,NA,45,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,Rainfall,DSV80,4,2,28.92,High,NA,NA,615.44,NA,74,01/05/2015,02/19/2015,NA,NA,NA,NA,45,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,None,UNT,1,0,94.58,High,NA,NA,2460.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,None,UNT,2,0,89.17,High,NA,NA,2239.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,None,UNT,3,0,92.5,High,NA,NA,2233.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beruski,6,PIR,2015,10/23/2014,1,Oct,None,UNT,4,0,92.5,High,NA,NA,2217.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Growth stage,CAL,1,5,20.03,High,4351.9,NA,371.1,208,51,01/08/2015,01/22/2015,02/05/2015,02/20/2015,03/06/2015,NA,14,14,15,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Growth stage,CAL,2,5,38.21,High,5166.7,NA,449.22,196,51,01/08/2015,01/22/2015,02/05/2015,02/20/2015,03/06/2015,NA,14,14,15,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Growth stage,CAL,3,5,24.67,High,5527.8,NA,274.19,182,51,01/08/2015,01/22/2015,02/05/2015,02/20/2015,03/06/2015,NA,14,14,15,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Growth stage,CAL,4,5,36.4,High,5083.3,NA,398.28,174,51,01/08/2015,01/22/2015,02/05/2015,02/20/2015,03/06/2015,NA,14,14,15,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Rainfall,DSV50,1,5,15.67,High,3379.6,NA,315.9,186,41,12/29/2014,01/13/2015,01/31/2015,02/13/2015,02/27/2015,NA,15,18,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Rainfall,DSV50,2,5,37.87,High,4731.5,NA,426.24,167,41,12/29/2014,01/13/2015,01/31/2015,02/13/2015,02/27/2015,NA,15,18,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Rainfall,DSV50,3,5,27.59,High,5250,NA,389.74,175,41,12/29/2014,01/13/2015,01/31/2015,02/13/2015,02/27/2015,NA,15,18,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Rainfall,DSV50,4,5,14.86,High,6361.1,NA,249.18,185,41,12/29/2014,01/13/2015,01/31/2015,02/13/2015,02/27/2015,NA,15,18,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP6,1,5,11.72,High,3824.1,NA,201.78,195,34,12/22/2014,01/08/2015,01/31/2015,02/13/2015,02/27/2015,NA,17,23,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP6,2,5,34.88,High,5009.3,NA,427.34,177,34,12/22/2014,01/08/2015,01/31/2015,02/13/2015,02/27/2015,NA,17,23,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP6,3,5,5.48,High,5675.9,NA,103.84,181,34,12/22/2014,01/08/2015,01/31/2015,02/13/2015,02/27/2015,NA,17,23,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP6,4,5,27.82,High,5203.7,NA,336.74,177,34,12/22/2014,01/08/2015,01/31/2015,02/13/2015,02/27/2015,NA,17,23,13,14,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP9,1,5,18.42,High,3944.4,NA,498.51,185,35,12/23/2014,01/08/2015,02/06/2015,02/19/2015,03/10/2015,NA,16,29,13,19,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP9,2,5,40.13,High,4583.3,NA,760.73,177,35,12/23/2014,01/08/2015,02/06/2015,02/19/2015,03/10/2015,NA,16,29,13,19,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP9,3,5,24.42,High,5740.7,NA,263.03,185,35,12/23/2014,01/08/2015,02/06/2015,02/19/2015,03/10/2015,NA,16,29,13,19,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,LWDxT,DVIP9,4,5,40.4,High,4629.6,NA,545.92,185,35,12/23/2014,01/08/2015,02/06/2015,02/19/2015,03/10/2015,NA,16,29,13,19,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Rainfall,DSV80,1,0,73.75,High,3574.1,NA,994.26,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beruski,7,PIR,2015,11/18/2014,2,Nov,Rainfall,DSV80,2,0,100,High,3907.4,NA,1868.02,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
